"Stkcd","ShortName","Accper","Typrep","F081602C"
"000410","沈阳机床","2016-12-31","B","0.028475"
"000410","*ST 沈机","2017-12-31","A","-0.329056"
"000410","*ST 沈机","2017-12-31","B","-0.408740"
"000410","沈阳机床","2018-12-31","A","0.197089"
"000410","沈阳机床","2018-12-31","B","-0.182471"
"000410","*ST 沈机","2019-12-31","A","-0.800167"
"000410","*ST 沈机","2019-12-31","B","-0.735411"
"000410","*ST 沈机","2020-12-31","A","0.340271"
"000410","*ST 沈机","2020-12-31","B","0.230045"
"000410","ST 沈机","2021-12-31","A","0.264776"
"000410","ST 沈机","2021-12-31","B","0.184438"
"000410","*ST 沈机","2022-12-31","A","-0.016765"
"000410","*ST 沈机","2022-12-31","B","0.003767"
"000413","东旭光电","2014-12-31","A","1.300028"
"000413","东旭光电","2014-12-31","B","-0.372540"
"000413","东旭光电","2015-12-31","A","1.169550"
"000413","东旭光电","2015-12-31","B","10.966362"
"000413","东旭光电","2016-12-31","A","0.484089"
"000413","东旭光电","2016-12-31","B","-0.176308"
"000413","东旭光电","2017-12-31","A","1.512036"
"000413","东旭光电","2017-12-31","B","-0.622845"
"000413","东旭光电","2018-12-31","A","0.627314"
"000413","东旭光电","2018-12-31","B","-0.142117"
"000413","东旭光电","2019-12-31","A","-0.378671"
"000413","东旭光电","2019-12-31","B","-0.376979"
