"Symbol","ShortName","EndDate","EquityNature"
"000568","泸州老窖","2020-12-31","国企"
"000568","泸州老窖","2021-12-31","国企"
"000568","泸州老窖","2022-12-31","国企"
"000570","苏常柴A","2014-12-31","国企"
"000570","苏常柴A","2015-12-31","国企"
"000570","苏常柴A","2016-12-31","国企"
"000570","苏常柴A","2017-12-31","国企"
"000570","苏常柴A","2018-12-31","国企"
"000570","苏常柴A","2019-12-31","国企"
"000570","苏常柴A","2020-12-31","国企"
"000570","苏常柴A","2021-12-31","国企"
"000570","苏常柴A","2022-12-31","国企"
"000572","海马汽车","2014-12-31","民营"
"000572","海马汽车","2015-12-31","民营"
"000572","海马汽车","2016-12-31","民营"
"000572","海马汽车","2017-12-31","民营"
"000572","海马汽车","2018-12-31","民营"
"000572","*ST 海马","2019-12-31","民营"
"000572","ST 海马","2020-12-31","民营"
"000572","海马汽车","2021-12-31","民营"
"000572","海马汽车","2022-12-31","民营"
"000576","广东甘化","2014-12-31","民营"
"000576","广东甘化","2015-12-31","民营"
"000576","广东甘化","2016-12-31","民营"
"000576","广东甘化","2017-12-31","民营"
"000576","广东甘化","2018-12-31","民营"
"000576","广东甘化","2019-12-31","民营"
"000576","甘化科工","2020-12-31","民营"
"000576","甘化科工","2021-12-31","民营"
"000576","甘化科工","2022-12-31","民营"
"000581","威孚高科","2014-12-31","国企"
"000581","威孚高科","2015-12-31","国企"
"000581","威孚高科","2016-12-31","国企"
"000581","威孚高科","2017-12-31","国企"
"000581","威孚高科","2018-12-31","国企"
"000581","威孚高科","2019-12-31","国企"
"000581","威孚高科","2020-12-31","国企"
"000581","威孚高科","2021-12-31","国企"
"000581","威孚高科","2022-12-31","国企"
"000585","东北电气","2014-12-31","民营"
"000585","东北电气","2015-12-31","民营"
"000585","东北电气","2016-12-31","民营"
"000585","东北电气","2017-12-31","其他"
"000585","*ST 东电","2018-12-31","其他"
"000585","ST 东电","2019-12-31","其他"
"000585","*ST 东电","2020-12-31","其他"
"000585","*ST 东电","2021-12-31","其他"
"000586","汇源通信","2014-12-31","民营"
"000586","汇源通信","2015-12-31","其他"
"000586","汇源通信","2016-12-31","其他"
"000586","汇源通信","2017-12-31","其他"
"000586","汇源通信","2018-12-31","其他"
"000586","汇源通信","2019-12-31","其他"
"000586","汇源通信","2020-12-31","其他"
"000586","汇源通信","2021-12-31","其他"
"000586","汇源通信","2022-12-31","其他"
"000589","黔轮胎A","2014-12-31","国企"
"000589","黔轮胎A","2015-12-31","国企"
"000589","黔轮胎A","2016-12-31","国企"
"000589","黔轮胎A","2017-12-31","国企"
"000589","黔轮胎A","2018-12-31","国企"
"000589","贵州轮胎","2019-12-31","国企"
"000589","贵州轮胎","2020-12-31","国企"
"000589","贵州轮胎","2021-12-31","国企"
"000589","贵州轮胎","2022-12-31","国企"
"000590","紫光古汉","2014-12-31","国企"
"000590","*ST 古汉","2015-12-31","国企"
"000590","启迪古汉","2016-12-31","国企"
"000590","启迪古汉","2017-12-31","国企"
"000590","启迪古汉","2018-12-31","国企"
"000590","启迪古汉","2019-12-31","国企"
"000590","启迪药业","2020-12-31","其他"
"000590","启迪药业","2021-12-31","国企"
"000590","启迪药业","2022-12-31","国企"
"000595","西北轴承","2014-12-31","民营"
"000595","宝塔实业","2015-12-31","民营"
"000595","宝塔实业","2016-12-31","民营"
"000595","*ST 宝实","2017-12-31","民营"
"000595","宝塔实业","2018-12-31","民营"
"000595","宝塔实业","2019-12-31","民营"
"000595","*ST 宝实","2020-12-31","国企"
"000595","宝塔实业","2021-12-31","国企"
"000595","宝塔实业","2022-12-31","国企"
"000596","古井贡酒","2014-12-31","国企"
"000596","古井贡酒","2015-12-31","国企"
"000596","古井贡酒","2016-12-31","国企"
"000596","古井贡酒","2017-12-31","国企"
"000596","古井贡酒","2018-12-31","国企"
"000596","古井贡酒","2019-12-31","国企"
"000596","古井贡酒","2020-12-31","国企"
"000596","古井贡酒","2021-12-31","国企"
"000596","古井贡酒","2022-12-31","国企"
"000597","东北制药","2014-12-31","国企"
"000597","东北制药","2015-12-31","国企"
"000597","东北制药","2016-12-31","国企"
"000597","东北制药","2017-12-31","国企"
"000597","东北制药","2018-12-31","民营"
"000597","东北制药","2019-12-31","民营"
"000597","东北制药","2020-12-31","民营"
"000597","东北制药","2021-12-31","民营"
"000597","东北制药","2022-12-31","民营"
"000599","青岛双星","2014-12-31","国企"
"000599","青岛双星","2015-12-31","国企"
"000599","青岛双星","2016-12-31","国企"
"000599","青岛双星","2017-12-31","国企"
"000599","青岛双星","2018-12-31","国企"
"000599","青岛双星","2019-12-31","国企"
"000599","青岛双星","2020-12-31","国企"
"000599","青岛双星","2021-12-31","国企"
"000599","青岛双星","2022-12-31","国企"
"000611","内蒙发展","2014-12-31","民营"
